SubscriptionName,SubscriptionGuid,Date,ResourceGuid,ServiceName,ServiceType,ServiceRegion,ServiceResource,Quantity,Cost
"Microsoft Azure Sponsorship","cd7ad108-f6f9-4669-869b-e84a702ebec1","5/18/2025","6c76daf0-aeb1-4238-b8b4-18820c91eeef","Storage","Tables","All","RA-GRS Data Stored","0.000302","0.000024"
"Microsoft Azure Sponsorship","cd7ad108-f6f9-4669-869b-e84a702ebec1","5/19/2025","6c76daf0-aeb1-4238-b8b4-18820c91eeef","Storage","Tables","All","RA-GRS Data Stored","0.000259","0.000024"
"Microsoft Azure Sponsorship","cd7ad108-f6f9-4669-869b-e84a702ebec1","5/20/2025","6c76daf0-aeb1-4238-b8b4-18820c91eeef","Storage","Tables","All","RA-GRS Data Stored","0.00023","0.000024"
"Microsoft Azure Sponsorship","cd7ad108-f6f9-4669-869b-e84a702ebec1","5/21/2025","6c76daf0-aeb1-4238-b8b4-18820c91eeef","Storage","Tables","All","RA-GRS Data Stored","0.000176","0.000016"
"Microsoft Azure Sponsorship","cd7ad108-f6f9-4669-869b-e84a702ebec1","5/22/2025","6c76daf0-aeb1-4238-b8b4-18820c91eeef","Storage","Tables","All","RA-GRS Data Stored","0.000128","0.000000"
"Microsoft Azure Sponsorship","cd7ad108-f6f9-4669-869b-e84a702ebec1","5/23/2025","6c76daf0-aeb1-4238-b8b4-18820c91eeef","Storage","Tables","All","RA-GRS Data Stored","7.4E-05","0.000000"
"Microsoft Azure Sponsorship","cd7ad108-f6f9-4669-869b-e84a702ebec1","5/24/2025","6c76daf0-aeb1-4238-b8b4-18820c91eeef","Storage","Tables","All","RA-GRS Data Stored","2.6E-05","0.000000"
"Microsoft Azure Sponsorship","cd7ad108-f6f9-4669-869b-e84a702ebec1","5/18/2025","9f5e9ffe-74c8-5ca1-931a-2009507cf878","Storage","Tables","IT North","LRS Data Stored","0.0001","0.000000"
"Microsoft Azure Sponsorship","cd7ad108-f6f9-4669-869b-e84a702ebec1","5/19/2025","9f5e9ffe-74c8-5ca1-931a-2009507cf878","Storage","Tables","IT North","LRS Data Stored","9.6E-05","0.000000"
"Microsoft Azure Sponsorship","cd7ad108-f6f9-4669-869b-e84a702ebec1","5/20/2025","9f5e9ffe-74c8-5ca1-931a-2009507cf878","Storage","Tables","IT North","LRS Data Stored","9.1E-05","0.000000"
"Microsoft Azure Sponsorship","cd7ad108-f6f9-4669-869b-e84a702ebec1","5/21/2025","9f5e9ffe-74c8-5ca1-931a-2009507cf878","Storage","Tables","IT North","LRS Data Stored","6.4E-05","0.000000"
"Microsoft Azure Sponsorship","cd7ad108-f6f9-4669-869b-e84a702ebec1","5/22/2025","9f5e9ffe-74c8-5ca1-931a-2009507cf878","Storage","Tables","IT North","LRS Data Stored","2.8E-05","0.000000"
"Microsoft Azure Sponsorship","cd7ad108-f6f9-4669-869b-e84a702ebec1","5/21/2025","32c3ebec-1646-49e3-8127-2cafbd3a04d8","Bandwidth","Rtn Preference: MGN","All","Standard Data Transfer In","1E-06","0.000000"
"Microsoft Azure Sponsorship","cd7ad108-f6f9-4669-869b-e84a702ebec1","5/22/2025","32c3ebec-1646-49e3-8127-2cafbd3a04d8","Bandwidth","Rtn Preference: MGN","All","Standard Data Transfer In","2E-06","0.000000"
"Microsoft Azure Sponsorship","cd7ad108-f6f9-4669-869b-e84a702ebec1","5/28/2025","32c3ebec-1646-49e3-8127-2cafbd3a04d8","Bandwidth","Rtn Preference: MGN","All","Standard Data Transfer In","1E-06","0.000000"
"Microsoft Azure Sponsorship","cd7ad108-f6f9-4669-869b-e84a702ebec1","5/29/2025","32c3ebec-1646-49e3-8127-2cafbd3a04d8","Bandwidth","Rtn Preference: MGN","All","Standard Data Transfer In","2E-06","0.000000"
"Microsoft Azure Sponsorship","cd7ad108-f6f9-4669-869b-e84a702ebec1","6/9/2025","32c3ebec-1646-49e3-8127-2cafbd3a04d8","Bandwidth","Rtn Preference: MGN","All","Standard Data Transfer In","5E-06","0.000000"
"Microsoft Azure Sponsorship","cd7ad108-f6f9-4669-869b-e84a702ebec1","6/11/2025","32c3ebec-1646-49e3-8127-2cafbd3a04d8","Bandwidth","Rtn Preference: MGN","All","Standard Data Transfer In","1.1E-05","0.000000"
"Microsoft Azure Sponsorship","cd7ad108-f6f9-4669-869b-e84a702ebec1","6/12/2025","32c3ebec-1646-49e3-8127-2cafbd3a04d8","Bandwidth","Rtn Preference: MGN","All","Standard Data Transfer In","8E-05","0.000000"
"Microsoft Azure Sponsorship","cd7ad108-f6f9-4669-869b-e84a702ebec1","5/18/2025","6d8e33fc-0a98-566c-9795-34a6f15825a2","Storage","Tiered Block Blob","IT North","Hot LRS Data Stored","0.005088","0.000096"
"Microsoft Azure Sponsorship","cd7ad108-f6f9-4669-869b-e84a702ebec1","5/19/2025","6d8e33fc-0a98-566c-9795-34a6f15825a2","Storage","Tiered Block Blob","IT North","Hot LRS Data Stored","0.005088","0.000096"
"Microsoft Azure Sponsorship","cd7ad108-f6f9-4669-869b-e84a702ebec1","5/20/2025","6d8e33fc-0a98-566c-9795-34a6f15825a2","Storage","Tiered Block Blob","IT North","Hot LRS Data Stored","0.005088","0.000096"
"Microsoft Azure Sponsorship","cd7ad108-f6f9-4669-869b-e84a702ebec1","5/21/2025","6d8e33fc-0a98-566c-9795-34a6f15825a2","Storage","Tiered Block Blob","IT North","Hot LRS Data Stored","0.005088","0.000096"
"Microsoft Azure Sponsorship","cd7ad108-f6f9-4669-869b-e84a702ebec1","5/22/2025","6d8e33fc-0a98-566c-9795-34a6f15825a2","Storage","Tiered Block Blob","IT North","Hot LRS Data Stored","0.005088","0.000096"
"Microsoft Azure Sponsorship","cd7ad108-f6f9-4669-869b-e84a702ebec1","5/23/2025","6d8e33fc-0a98-566c-9795-34a6f15825a2","Storage","Tiered Block Blob","IT North","Hot LRS Data Stored","0.005088","0.000096"
"Microsoft Azure Sponsorship","cd7ad108-f6f9-4669-869b-e84a702ebec1","5/24/2025","6d8e33fc-0a98-566c-9795-34a6f15825a2","Storage","Tiered Block Blob","IT North","Hot LRS Data Stored","0.005088","0.000096"
"Microsoft Azure Sponsorship","cd7ad108-f6f9-4669-869b-e84a702ebec1","5/25/2025","6d8e33fc-0a98-566c-9795-34a6f15825a2","Storage","Tiered Block Blob","IT North","Hot LRS Data Stored","0.005088","0.000096"
"Microsoft Azure Sponsorship","cd7ad108-f6f9-4669-869b-e84a702ebec1","5/26/2025","6d8e33fc-0a98-566c-9795-34a6f15825a2","Storage","Tiered Block Blob","IT North","Hot LRS Data Stored","0.005088","0.000096"
"Microsoft Azure Sponsorship","cd7ad108-f6f9-4669-869b-e84a702ebec1","5/27/2025","6d8e33fc-0a98-566c-9795-34a6f15825a2","Storage","Tiered Block Blob","IT North","Hot LRS Data Stored","0.005088","0.000096"
"Microsoft Azure Sponsorship","cd7ad108-f6f9-4669-869b-e84a702ebec1","5/28/2025","6d8e33fc-0a98-566c-9795-34a6f15825a2","Storage","Tiered Block Blob","IT North","Hot LRS Data Stored","0.005088","0.000096"
"Microsoft Azure Sponsorship","cd7ad108-f6f9-4669-869b-e84a702ebec1","5/29/2025","6d8e33fc-0a98-566c-9795-34a6f15825a2","Storage","Tiered Block Blob","IT North","Hot LRS Data Stored","0.005088","0.000096"
"Microsoft Azure Sponsorship","cd7ad108-f6f9-4669-869b-e84a702ebec1","5/30/2025","6d8e33fc-0a98-566c-9795-34a6f15825a2","Storage","Tiered Block Blob","IT North","Hot LRS Data Stored","0.005088","0.000096"
"Microsoft Azure Sponsorship","cd7ad108-f6f9-4669-869b-e84a702ebec1","5/31/2025","6d8e33fc-0a98-566c-9795-34a6f15825a2","Storage","Tiered Block Blob","IT North","Hot LRS Data Stored","0.005088","0.000096"
"Microsoft Azure Sponsorship","cd7ad108-f6f9-4669-869b-e84a702ebec1","6/1/2025","6d8e33fc-0a98-566c-9795-34a6f15825a2","Storage","Tiered Block Blob","IT North","Hot LRS Data Stored","0.005256","0.000096"
"Microsoft Azure Sponsorship","cd7ad108-f6f9-4669-869b-e84a702ebec1","6/2/2025","6d8e33fc-0a98-566c-9795-34a6f15825a2","Storage","Tiered Block Blob","IT North","Hot LRS Data Stored","0.005256","0.000096"
"Microsoft Azure Sponsorship","cd7ad108-f6f9-4669-869b-e84a702ebec1","6/3/2025","6d8e33fc-0a98-566c-9795-34a6f15825a2","Storage","Tiered Block Blob","IT North","Hot LRS Data Stored","0.005256","0.000096"
"Microsoft Azure Sponsorship","cd7ad108-f6f9-4669-869b-e84a702ebec1","6/4/2025","6d8e33fc-0a98-566c-9795-34a6f15825a2","Storage","Tiered Block Blob","IT North","Hot LRS Data Stored","0.005256","0.000096"
"Microsoft Azure Sponsorship","cd7ad108-f6f9-4669-869b-e84a702ebec1","6/5/2025","6d8e33fc-0a98-566c-9795-34a6f15825a2","Storage","Tiered Block Blob","IT North","Hot LRS Data Stored","0.005256","0.000096"
"Microsoft Azure Sponsorship","cd7ad108-f6f9-4669-869b-e84a702ebec1","6/6/2025","6d8e33fc-0a98-566c-9795-34a6f15825a2","Storage","Tiered Block Blob","IT North","Hot LRS Data Stored","0.005256","0.000096"
