field,default,min,max
color,#FFFF00,#FFFF00,#FFFF00
width,0.3,0.3,0.3
height,0.1,0.05,2.0
dashGap,2,2,2
endPoint,,,
rotation,0,0,360
isVisible,True,True,True
lineStyle,solid,solid,solid
lineWidth,0.5,0.5,5000.0
baseHeight,0,0,1000
dashLength,2,2,2
lineLength,10.0,0.5,5000.0
startPoint,,,
hollowScale,0,0,99
circleRadius,5.0,0.05,50.0
lineCategory,True,False,True
polygonSides,3,3,12
polygonRadius,5.0,0.05,50.0
circleCategory,False,False,True
polygonCategory,False,False,True
dashedCircleRadius,0.5,0.5,0.5
