,default,min,max
color,#FFFF00,#FFFF00,#FFFF00
width,0.3,0.3,0.3
height,0.1,0.05,2.0
dashGap,2,2,2
endPoint,,,
rotation,0,0,360
isVisible,True,True,True
lineStyle,solid,solid,solid
lineWidth,0.5,0.5,5000.0
baseHeight,0,0,1000
dashLength,2,2,2
lineLength,10.0,0.5,5000.0
startPoint,,,
hollowScale,0,0,0
circleRadius,5.0,5.0,5.0
lineCategory,True,True,True
polygonSides,3,3,3
polygonRadius,5.0,0.05,5.0
circleCategory,False,False,False
polygonCategory,False,False,False
dashedCircleRadius,0.5,0.5,0.5
